Name,Release date,Price,Average playtime forever,Developers,Publishers,Genres,About the game,Estimate users,Estimated gross profit,Review score,Total days,Extras trophy,Operating System,year
Delta Force: Black Hawk Down,2009-06-18,14.99,0,NovaLogic,"NovaLogic,THQ Nordic",Action,"In late 1993, the United States launched dual military operations in Mogadishu Somalia. Delta Force Operatives and Army Rangers were sent in to capture Somali warlords and restore order. Experience the intense combat of Operation Restore Hope in this ground breaking first person shooter. As a Delta Force operative participate in a number of daring and intense raids against the oppressive Somali warlords in and around Mogadishu. Features Engage in Close Quarters Battle in a maze of city streets or snipe across the plain with Delta Force's signature long-range engagements Open fire from heavy weapons mounted in Black Hawk helicopters or on Military Vehicles Gear up with an arsenal of authentically modeled weapons used in the streets of Mogadishu New AI system drives unprecedented teamwork with your fellow soldiers and enemies that skillfully hunt you down Fight through a variety of compelling missions, each with multiple objectives Nonstop, large-scale multiplayer action over LAN or via NovaWorld Powered by a new game engine optimized to showcase the latest 3D graphics and processor technology Developed with direction from Special Operations Forces advisors on realistic tactics, situations and details",617,9248.83,518,5309,0,True,2009
Sacraboar,2009-11-06,2.99,597,Makivision Games,Makivision Games,"Action,Strategy,Indie","Sacraboar is an RTS game in which players have to capture their opponent's boar trophy. Featuring an intuitive and easy to use resource management system, the game offers fast-paced game play without lengthy and tedious construction phases. During the game players can build towers, which either give them access to powerful spells or increase their budgets for producing units. Get yourself some awards in league and cup competitions as well as bronze, silver, and gold medals in over 80 challenging missions and battle it out against human opponents via LAN. Multiplayer via LAN League in four difficulties (Bronze, Silver, Gold, All Star) Cup in four difficulties (Bronze, Silver, Gold, All Star) 89 Missions, each one in three difficulties (Bronze, Silver, Gold) 6 additional tutorial missions Replays (record your matches and share them with your friends) 18 difficulties in Skirmish mode (from very easy to ultra-hard) Lots of different game modes that can be combined Easy to use code system for sharing cool game settings Test Center for testing units and spells Encyclopedia with all information about units, spells, game modes etc. Trophy Room that lists all your achievements",63,188.37,-33,5168,51,True,2009
Ceville,2009-02-27,0.51,248,Realmforge Studios,Assemble Entertainment,"Action,Adventure,Strategy","The mean cruel cold blooded tyrant Ceville ruthlessly rules the beautiful kingdom of Faeryanis. Or rather, he used to rule the beautiful kingdom of Faeryanis, until the brave people revolted against his regime and drove him out of the palace. The kindhearted queen Gwendolyn did step up to reign over the land with a council of noble and wise advisors.. It seems that this story could end just like any other fairy tale: 'And they lived happily ever after...' But no, that's not quite right. Because another evil rises within the land. The treacherous Basilus — counsellor of Gwendolyn and of Ceville before her — plans to take the crown and torture the realm with the help of murderous beasts he has summoned from the planes of eternal darkness. All seems lost! But hope resides with the one most unlikely person imaginable to save the kingdom and restore peace to the realm: Ceville, the realm's former despotic ruler... Ceville The ancient ruler of Faeryanis and spare-time tyrant, is dreaming up evil plans to exact his revenge on his former counsellor and servant Basilus, who betrayed him. Ambrosius The noble and somewhat self-important knight Ambrosius is Ceville's would-be-nemesis. He constantly attempts to capture Ceville — but usually with little success. Will they both team up to fight a greater evil? Lilly The gentle and kind girl Lilly is rather an improbable choice to team up with Ceville. Never the less she helps him to escape for the good of the realm (at least that's what SHE thinks!) This game will give you an impression of what happens, when you mix up the setting and humour of Shrek, Discworld and the Monkey Island series. up to three simultaniously playable characters with weird but loveable personalities bizarre characters from stock-broker dwarves and hippie-elves who populate the fairy-tale realm of Faeryanis various locations all over Faerynis, like the Not-So-Hidden druid circle, the (former) Elven Forest, The Dwarven Mines of Mount Goldmore and more! a variety of puzzles, many of which that can only be solved by teamwork of two (or more) player characters tons of humour",155,79.05,99,5420,0,True,2009
Paws and Claws: Pet Vet,2009-07-17,6.99,0,dtp – young entertainment Gmbh & Co. KG,Cosmi Valusoft,"Casual,Simulation","You love animals and they love you! Congratulations! You’re the owner of your very own Paws &amp; Claws Pet Clinic! It’s your job to nurture and love all of the animals to bring them back to health. Grow your vet clinic into a thriving business and become every animal’s best friend! Features Nurse all of the animals back to health through 20+ cases using your veterinary skills and tender loving, caring touch. What are your favorite animals? You'll get to treat them all, including dogs, cats, horses, birds, and more. Design your own clinic! Choose what kennels to build and expand existing buildings to provide more services to your patients. Become the best vet and you'll grow your business into the biggest pet clinic in town! LOVE is the Most Powerful Medicine! Get your dog a bone! Run with your canine patients, playing fetch with them after you’ve nursed them back to health. Brush, pamper and even ride your thoroughbreds so they are happy and healthy when you return them to their owners. Snuggle with your kitty cats as you treat their ailments. They’ll be purr-fectly healthy after visiting your clinic! Treat and heal the bunnies that come to your clinic so they can hop and jump to their heart’s content! You’re in charge! Use the money you earn from your clinic to expand your business by offering more services to your customers. Listen to the budgies sine and play with your guinea pigs all while making them feel better!",16,111.84,14,5280,0,True,2009
Elven Legacy: Magic,2009-12-03,0.51,0,1C:InoCo,Fulqrum Publishing,Strategy,"The era of Elven Legacy is coming to an end. The relentless wave of demonic magical energy triggered by the death of the demon Farrakh has swept the world and has now reached the free city of Sylent. Powerless, the Masters of the Academy of Magic are being driven insane. The Holy Inquisition, inspired by the clerics of the kingdom of New Tixus, acts swiftly to intervene in the seemingly hopeless cause of preventing the world’s slide into darkness and madness. At the forefront is Alfred Brennock, the Archmage supreme, who alone is mastered in the arcane arts, and who alone can save the lives and the sanity of his Academy pupils. Using the strength and potency of the Sagittel’s curse, Brennock faces the ultimate test of his will as he creates spells of untold power, summons legions of mystical spectres, and crosses half a world in a desperate attempt to stem the tide of evil. But he isn’t the only one... Key features: 15 new campaign missions A new hero &amp; return of heroes of old – Runic Dward Mage, Gilven, Master Brennock New tactical skills, armies of summons, and sacred dwarven runes Powerful new spells and artifacts that can drastically effect any given tactical situation if used correctly BONUS mission that reveals the continuing tales of heroes from “Elven Legacy” and “Fantasy Wars”",18,9.18,8,5141,0,True,2009
Guild Wars Nightfall®,2009-04-22,19.99,0,ArenaNet®,NCSOFT,"Massively Multiplayer,RPG","Join millions of players worldwide in this third campaign in the award-winning Guild Wars® universe. Create your own band of Heroes and lead them against a mad ruler and an outcast god who desire to bring darkness to Elona. When night falls you must fight — but you won't fight alone. Explore opulent cities, savage coasts, ancient monuments, and poisonous deserts as you determine the fate of Elona. Guild Wars Nightfall™ is the third stand-alone release from developer ArenaNet®, and features a new land, new mechanics, and new professions. Battle against the armies of darkness in the company of customizable Heroes that level up with you, follow your instructions in combat, and use armor, weapons, and skills of your choice. Beguile your enemies with the flashing scythe of the new Dervish profession, or empower the people of Elona with the shouts and chants of the god-touched Paragon. Find your allies quickly and build the ultimate party using the new cross-district Party Search system. Discover new ways to throw down your enemies with more than 350 new skills.",0,0.0,0,5366,0,True,2009
America's Army 3,2009-06-17,0.0,40,U.S. Army,U.S. Army,Action,"Check Out the latest installment ' America's Army: Proving Grounds ' Download AA3 Today and Become a Member of the elite America's Army Team! America's Army fans and new players alike can now experience America's Army 3, the official U.S. Army game, which has more authentic military elements including training, technology, weapons, and audio than any other military game. Built on Unreal Engine 3, AA3 delivers stunningly realistic characters, environments, lighting effects, animations, and team-based experiences. In the game where Every Detail Counts™, players are bound by Rules of Engagement (ROE) and gain experience as you navigate challenges in team-based, multiplayer, force-on-force operations. With 15 different map/mission combinations and exclusive advanced training that allows you to unlock new abilities and customize your gear, you'll experience Soldiering in the U.S. Army like never before. Find strength like no other in a game like no other. Start your mission now! When you play AA3 on Steam, you'll earn Steam Achievements, ranking up among your friends as you earn distinguished status, badges, medals and ribbons. With AA3 on Steam, you can also save your keyboard bindings to the Steam Cloud - just login to your Steam account and fire up AA3 on any PC to utilize your custom settings.",2384,0.0,932,5310,71,True,2009
Zuma's Revenge!,2009-09-15,4.99,530,"PopCap Games, Inc.","PopCap Games, Inc.,Electronic Arts","Action,Casual","An irresistible force has taken our fearless frog to an island where the ribbeting puzzle-action of Zuma has evolved in amazing ways… but evil spirits and tenacious tiki bosses rule the land! Survive the ire of the island by firing stone spheres to destroy the deadly stream of balls. Conquer over 60 levels by staying sharp and avoiding hidden traps. Slide and hop for smarter shots; hit targets for exotic bonuses; detonate new power-up balls; battle six imposing tiki bosses and guide your agile amphibian to victory in four all new game modes! Will you succumb to the perilous pitfalls, or can you tame the jungle in this PopCap ball-blasting challenge? Conquer over 60 levels and defeat six mini-game Boss Battles Score explosive power-ups including three new shots Explore new gameplay like lily-pad hopping, slide-aiming, and more Take a shot at 70 all-new Challenges in the Jungle of Mystery, Quiet Village, Lost City and Mosquito Coast. Run the Iron Frog gauntlet — beat 10 levels in a row! Turn up the heat in Heroic Frog mode Enjoy amazing graphics and effects that bring Zuma into the modern world of gaming",1641,8188.59,1314,5220,14,True,2009
Nancy Drew®: Danger on Deception Island,2009-10-10,6.99,0,HeR Interactive,HeR Interactive,Adventure,"Nancy Drew®: Danger on Deception Island is a first-person perspective, point-and-click adventure game. The player is Nancy Drew and has to solve a mystery. Explore rich environments for clues, interrogate suspects, and solve puzzles and mini-games. A much-anticipated vacation to a remote island in the Pacific Northwest abruptly runs aground when you, as Nancy Drew, discover that an unseen assailant has vandalized the whale-watching boat owned by your host, Katie Firestone. But that’s just the first in a string of nasty 'accidents.' Is the trouble in Snake Horse Harbor related to the orphaned orca whale roaming the nearby channel, or is there a deeper threat shrouded in the approaching fog? Plunge into danger to bring a mysterious island’s secrets to the surface! Dare to Play. Kayak in coastal waters and caves. Solve puzzles using Morse code and the Anagram Buster. Build sandcastles, dig for clams, and play chess. Choose from Junior or Senior Detective difficulty levels.   About The Nancy Drew Adventure Series The original #1 selling PC adventure series. See a comparison of the Dossier and Adventure Series",159,1111.41,137,5195,0,True,2009
Command & Conquer 3: Tiberium Wars,2009-11-13,14.99,571,EA Los Angeles,Electronic Arts,Strategy,"The year is 2047. A massive nuclear fireball explodes high in the night sky, marking the dramatic beginning of the Third Tiberium War and the long-awaited return of the most groundbreaking Real-Time Strategy franchise of all time. Command &amp; Conquer 3 Tiberium Wars unveils the future of RTS gaming by bringing you back to where it all began: the Tiberium Universe. With the corrupt substance Tiberium blanketing most of the Earth, the infamous Kane is back to lead his Brotherhood of Nod in a massive global assault on the Global Defense Initiative (GDI) and the few remaining livable Blue Zones left on the planet. Only you can stop him. Featuring state-of-the-art next-generation graphics, an epic story, and truly innovative features such as the ability to transform online battles into a spectator sport, Command &amp; Conquer is about to reinvent RTS gaming … again. Welcome back, Commander. Fast, Fluid, Fun — The ultra-responsive, smooth-as-silk gameplay C&amp;C invented is now better than ever, intuitively placing your entire arsenal at your fingertips. 35+ Single Player Missions — In a vast open-world theater of war where each decision you make matters, you’ll experience one cohesive, epic story told from the unique perspective of all three warring factions. Story Like You’ve Never Seen — High-definition, live action video sequences that seamlessly tie the game’s epic story together feature an unparalleled, diverse Hollywood cast, including talent from Star Wars, Starship Troopers, Battlestar Galactica, LOST, and House and the return of Joe Kucan as Kane. AI with Distinct Styles of Play — The game AI matches your style of play—choose from play styles such as ‘rushing’, ‘turtling’, and more, or level the battlefield and let the AI use its own tactics to give you the highest level of challenge. New Ways to Attack — Keep your opponent guessing by building flying battleships, wielding the power of terrifying Ion Storms, and combining units to form powerful, never-before-seen super-units. Technology Makes the World Come Alive — Lose yourself in reflected sunlight and scream in sheer joy as you blow chunks off of enemy tanks, structures, and anything else you can launch a rocket at. The game world gains a new dimension and the battlefield comes to life as the atmosphere fills with smoke, fire, haze, tracers, explosions, and state-of-the-art weather effects. Intuitive and Evolved Interface — A fully evolved side-bar interface allows you to completely manage your base operations while never leaving the action.",6224,93297.76,4693,5161,0,True,2009
Perimeter 2: New Earth,2009-02-10,14.99,212,KDV Games,Strategy First,Strategy,"Perimeter 2: New Earth is the long-awaited sequel of the critically acclaimed RTS Perimeter . Ideas of territorial gameplay and landscape modification, introduced in the original game, are now realized on a new concept & technology level. The Vista Game Engine enhances the dynamics and depth of gameplay, turning the battlefield into an arena for the confrontation of two elements - ground and water. Story of Perimeter 2 continues the events from the original game. The Exodus, lead by the wise Spirits has been searching for the New Earth. The Harkback have lost faith in Spirits, overthrew their rule and decided to head back for the Old Earth, not believing its death. They refused to believe in the death of their planet. Both sides took the final step on their way, and mortal enemies entered the same planet face to face. Perimeter 2 is a project for fans of the RTS genre. The revolutionary concept of terraforming along with new elements and fresh ideas is sure to provide a unique gaming experience. The concept of territorial warfare, based on the conflict of water and ground and bringing gameplay to a new dimension. Transforming units, assuring quick and effective reaction to the events on the battlefield and tactical diversity. Newly introduced Action-elements: players can enter the battle using the Providence - a Tactical Manipulator of Direct Action - and its super attacks, such as huge explosions, meteor showers, and more. Newly introduced RPG-elements: players can dig the gaming maps in search of psy-crystals that are used to unlock and upgrade Providence's super attacks. Apart from that psy-crystals hide important secrets about the past of New Earth.",67,1004.33,-39,5437,0,True,2009
Crayon Physics Deluxe,2009-05-06,19.99,14,Kloonigames,Kloonigames,"Casual,Indie","Crayon Physics Deluxe is a 2D physics puzzle / sandbox game, in which you get to experience what it would be like if your drawings would be magically transformed into real physical objects. Solve puzzles with your artistic vision and creative use of physics. Key features: Awesome physics Over 70 levels Easy to use level editor Rockets, ropes and hinges",987,19730.13,715,5352,0,True,2009
Devil May Cry 4,2009-12-22,19.99,445,Capcom,Capcom,"Action,Adventure","From the producer of the original Devil May Cry® and Resident Evil® 4 comes the next installment in the hugely successful stylized action series that has so far achieved global sales of nearly seven million units. Devil May Cry® 4 immerses gamers in a gothic supernatural world, where a new protagonist clashes with a familiar hero. As the new leading man, Nero, players will unleash incredible attacks and non-stop combos using a unique new gameplay mechanic, his powerful 'Devil Bringer' arm. With the advanced graphical capabilities of the PC, high definition visuals and intricate detail come to life as players explore new and exotic locales. Dynamic action and undeniable style combine with explosive fighting options and a gripping story to produce the incomparable experience that only a Devil May Cry game can deliver. Exclusive PC Features Turbo mode will turn-up the action to insane speeds 'Legendary Dark Knight Mode' will harness advanced PC processing power and fill the screen with an unbelievable number of enemies for extra difficulty Familiar enemies from the console versions will show-up in new locations High resolution screen settings allow the cut scenes of the game to run at up to 120 frames per second (up from 60 frames per second) Benchmark Testing lets users test PC performance to run DMC4 through a series of intense boss fights PC Settings allow you to customize graphic resolutions, texture sizes, and a frame rate in accordance with your PC Compatible with Games for Windows, DirectX 9 and DirectX 10. Key Game Features Blend of familiar and new: newcomer Nero clashes with veteran Dante New characters and environments Signature blend of guns and swordplay Deep combo system rewards stylish dispatching of enemies Unique 'Devil Bringer' arm opens up a range of combo options Distinct set of weaponry and moves for Nero and Dante Exceed System allows Nero to charge up his sword with a throttle effect, revving up to three levels with powerful attack options New active style change system for Dante allows him to switch styles and weapons on the fly, producing crazy combo possibilities",2013,40239.87,1657,5122,0,True,2009
Space Quest™ Collection,2009-07-23,19.99,38,Sierra,Activision,Adventure,"Relive the classic series brought together in one collection. Roger Wilco, a sanitation engineer on the spacelab Arcada, awakes from a nap to discover that space pirates have killed everyone onboard. Roger must escape The Sarien Encounter before they use the Arcada's Star Generator against his home planet of Xenon. Hero and recipient of the Golden Mop, Roger Wilco can barely bask in the promotion of head janitor before he is abducted by the evil Sludge Vohaul. Will Roger escape the dangerous Labion Terror Beast and thwart Vohaul's Revenge ? Another narrow escape finds our hero on Phleebhut, where Arnoid the Annihilator wants Roger to settle some debts. Meanwhile, the sinister CEO of ScumSoft and The Pirates of Pestulon have abducted the Two Guys from Andromeda, and Ace Janitor Roger Wilco is their only hope. The Sequel police have been sent by a reborn Sludge Vohaul to exact his final revenge. Roger Wilco and the Time Rippers must travel throughout Space Quests past and future to save Roger Jr. and Xenon. Captain of the SCS Eureka garbage scow and graduate of the StarCon Academy, Roger Wilco faces The Next Mutation when the commanding officer, Captain Quirk, plans to destroy the StarConfederacy. Court marshaled for breaking regulations while saving the universe, Roger Wilco once again finds himself on janitorial duty. While trapped on shore leave, Wilco must rescue Corpsman Santiago and embark upon The Spinal Frontier .",317,6336.83,205,5274,0,True,2009
Foreign Legion: Buckets of Blood,2009-08-04,3.99,51,Sakari Games,Sakari Games,"Action,Indie","Foreign Legion: Buckets of Blood is a cartoon-style third-person shooter. You take the role of a last-standing hard-boiled Legionnaire taking on an entire rebel army. A small campaign with various objectives, such as defending civilians, escorting a tourist bus and a mass-chicken-murder map. The game includes a ranking system that allows you to unlock new outfits, accessories and of course new weapons. Key features: 18 Various Steam achievements: Try to win Chicken Slaughter (killing all the chickens) and Damage Control (sparing all the civilians) in the same game! Fill your buckets with blood by causing suicide bombers to explode prematurely or shoot gory head shots! A dynamically evolving soundtrack that reacts to your actions! A complete arsenal of weapons, including personal air-raid support to slaughter attacking hordes at once. A broad range of difficulty with action-packed fun for both casual and veteran players!",307,1224.93,71,5262,23,True,2009
Nancy Drew®: The White Wolf of Icicle Creek,2009-07-17,6.99,0,HeR Interactive,HeR Interactive,Adventure,"Nancy Drew®: The White Wolf of Icicle Creek is a first-person perspective, point-and-click adventure game. The player is Nancy Drew and has to solve a mystery. Explore rich environments for clues, interrogate suspects, and solve puzzles and mini-games. Mournful howls and thunderous explosions roll across the frozen Canadian mountains surrounding the Icicle Creek Lodge. Former guests say that the resort is jinxed, but the staff blames a mysterious wolf. Is the wild animal connected to a lurking saboteur, or is the wolf warning the residents of bigger danger? It’s up to you, as Nancy Drew, to uncover the secrets before someone leaves you out in the cold! Follow a trail to hidden secrets and sabotage! Dare to Play! Play as Nancy Drew and do double duty as a housekeeper and detective Cook up savory meals Ride across the snow in a snowmobile Take aim in snowball fights and explore in snowshoes Play Junior or Senior detective level and erase mistakes without starting over   About The Nancy Drew Adventure Series The original #1 selling PC adventure series. See a comparison of the Dossier and Adventure Series",146,1020.54,68,5280,0,True,2009
Monster Trucks Nitro,2009-01-29,19.99,0,Redlynx Ltd,Miniclip.com,"Indie,Racing,Sports","Race, jump and nitroboost your way pass thrilling dynamic levels with your monster trucks. Earn medals and unlock new levels and vehicles. Lots of brilliant tracks Be fast but use also your wits to pass the tracks Improve your times and earn medals Collect the Nitro tanks to unleash special powers! Unlock extra trucks! In-game leaderboards Rock solid playability Real Monster Truck physics",45,899.55,13,5449,0,True,2009
NecroVision,2009-05-20,4.99,141,The Farm 51,Fulqrum Publishing,Action,"War is Hell. NecroVision is a first-person shooter that takes gamers across the frantic battlegrounds of World War I and into a dark underworld of vampires, demons and dark magic. Seeking adventure, young American Simon Bukner joins the British army in war-torn Europe of 1916. During a particularly ferocious battle, Bukner and his battalion are pushed into a series of dark trenches where they encounter mysterious phenomenon. As they move through the labyrinth they discover that there is a greater evil hiding underneath the battle-fields of the Great War — an evil that is forcing its way into our world and threatens to wipe out humanity. In the depths of this newly discovered underworld, Bukner must confront the dark forces and fight for the survival of mankind. An engrossing storyline blends elements of a traditional war shooter with magic and the supernatural world Players fight with authentic WWI era weapons, powerful magic artifacts and vampire powers Hordes of enemies that include humans, demons and vampires Massive, brutal boss battles Intense, fast-paced FPS combat stands out from the trend of plodding shooters Battle online with up to 16 players",1274,6357.26,459,5338,0,True,2009
XIII Century – Gold Edition,2009-08-28,4.99,34,Unicorn Games Studio,Fulqrum Publishing,Strategy,"XIII Century Gold Edition combines the highly successful strategy game XIII Century: Death or Glory with the follow-up sequel, XIII Century: Blood of Europe. XIII Century: Death or Glory is an RTS game which immerses players in the Middle Ages. Among the playable factions are the English, the French, the Mongols, the Germans and Kievan Rus' (Russians). The game consists of 5 campaigns, which cover the most well known battles of that period. XIII Century: Death or Glory features large-scale battles, with thousands of soldiers located on a battlefield at the same time, and offers players a chance to test their skills as military leaders in medieval Europe. XIII Century: Blood of Europe campaign is set in 1266 AD. Alexander Nevsky, the famous defender of ancient Rus' western borders, is long gone, and the knights of the Teutonic Order are again marching to Pskov, a gem of the Northern Rus'. They are out for easy prey and loot. Dovmont, Prince of Pskov, is the only hope to push out the invaders. Prepare to join his armed force to defend their territory and win fame worthy of the memory of the Grand Prince Alexander! Enjoy historical battles of the Middle Ages as Dovmont leads his troops against German and Livonian knights. Features Over 40 battles in 5 campaigns. Famous battles that changed the face of medieval Europe Historical reconstruction. Real conditions of renowned battles such as landscape, time of day and weather conditions are taken into account Authentic heraldry of European aristocracy Dozens of unit types Weapons, arms and equipment of knights are made using historical documents and specifications Unique battle system taking into account 80 parameters and characteristics, which allow complete authenticity of medieval battle on the unit level State-of-the-art shader graphics with astonishing level of refinement and veracity LAN and Internet multiplayer",145,723.5500000000001,13,5238,0,True,2009
Nation Red,2009-09-03,2.99,160,DiezelPower,DiezelPower,"Action,Indie","Nation Red is an ultra fast infinite play arena-based shooter providing an exceptional close-quarter battlefield experience. Fight thousands of zombie mutants and their bosses in frantic bloody gameplay while earning close to 100 perks. Fight in Barricade, Survival or Free Play mode. Play On-Line in coop, in single player or in local coop! August 17, 1977 Scattered groups of zombies infiltrate remote Midwestern towns. Incapable of using tools or weapons, the invaders are resisted until they retreat back into the desert. Special elimination posses are set up to hunt down any of the surviving undead. Six weeks after the squads started their search-and-destroy mission, the last known zombie was shot and killed. Present-day Over thirty years had passed when a truck driver traveling down a desolate Arizona road plows into a wall of undead. Before the driver's phone signal went dead, he reported some were carrying guns... They're back and now they are hunting us. Steam Exclusive Features: Local and On-line Coop — Take on the horde and earn perks together Barricade Mode — Defend your base against zombie attack Over 100 Steam Achievements and a dozen Leaderboards 30 Additional Steam User-designed Perks Xbox 360 Controller support for single or multiplayer Steam Hammer — Rips the skin off your opponent (nice) New Steam User designed weapons — Minigun, AA-12, MP5, Beretta 93R, Super Shorty and more New Levels and New Enemies — Zombie patients and caretakers in a desert asylum, Brawler boss zombies, Suicide bomber zombies.. Pneumatic Destroyer — Detonates the Rammer they are surrounded by zombies Key Features: Ultra Fast Action — Fight armies of hundreds of zombies and their bosses in an exceptional close-quarter battlefield experience Deadly Weapons — Use machetes, axes, jack hammers, dual Uzis, flame throwers, grenades, poison and a dozen more including a Steam Hammer, exclusive to Steam purchasers Customize Yourself — 100 player modifiers combine with two dozen power-ups for limitless gameplay Four Game Modes — Free Play, Survival, Barricade and 18 increasingly brutal missions await Zombies with Guns — They wield axes, cut-off saws, AK-47s and more",2638,7887.620000000001,2009,5232,145,True,2009
Light of Altair,2009-06-04,14.99,0,SaintXi,SaintXi,"Indie,Simulation,Strategy","Light of Altair is a sci-fi colony building game with a deep plot. Grow colonies from landing pod to metropolis, while sending off new spaceships to expand your territory to other worlds. You are not alone in space, 8 factions from different parts of the world are all following their own agendas in the solar system; diplomacy and orbital-combat are essential to learn. Light of Altair is based on a custom built 3D engine that enables easy zooming from galaxies all the way down to individual moons and asteroids covered in the colonies with their glass domes, mines and launch pads. Advanced shader technology is used to add rich details and lighting to surfaces. Build colonies on planets and asteroids throughout a system. Manage industries and colonists to grow from a tiny landing unit into a towering city. Detailed storyline based on a future-history of Earth. Rich single player campaign traced across the galaxy. Play out important plot events from different sides taking on the role of one of 8 different factions. Detailed tech-tree with over 30 weapons, buildings, and ship-mods to discover. Design ships: Pick a ship schematic and equip weapons, armour and mods to hardpoints. Then command shipyards to build a fleet from the design.",45,674.55,27,5323,30,True,2009
Maelstrom: The Battle for Earth Begins,2009-02-13,4.99,0,KDV Games,"Codemasters,Electronic Arts",Strategy,"In the space of fifty years, Earth changed from a planet on cusp of a challenging future to a world a breath away from lifelessness and plunged into an apocalyptic time of ecological disaster, global warfare and the meltdown of human civilization. This is the time of the Maelstrom. In this ravaged world, the planet's dwindling resources have divided what remains of mankind in two: the urban freedom fighting 'Remnants' and the technologically advanced 'Ascension'. Now they must wage war against a new threat, the invasion of a savage alien race, the Hai-Genti, and each other in a desperate struggle for supremacy and survival. Through the game's missions, take command from different viewpoints and employ faction-specific tactics and weaponry to achieve your objectives. Complete with the ability to terraform landscapes and transform units, Maelstrom provides gamers with the power to harness the forces of nature in the most frantic, destructive, action-packed RTS game yet. A stunning mix of action-packed RTS missions set in a totally destructible and immaculately realised environment. A devastated future Earth becomes the battleground as a divided human race fights for survival against alien invaders. Through the game, players control each of the game's three factions - the Remnants, Ascension and the alien Hai-Genti - each with unique identities, strengths and tactics. Modify the terrain and use the elements as a strategic weapon. Create valleys, carve out lakes, freeze water, melt ice, create tornadoes and even control the wind. Characters grow experience and level up with new abilities as you progress through the game.",146,728.5400000000001,34,5434,0,True,2009
Dangerous High School Girls in Trouble!™,2009-02-23,19.99,0,Mousechief,Mousechief,"RPG,Indie,Casual","Well behaved women seldom make history. - Laurel Thatcher Ulrich This is the game where good girls get better by being bad! In the 1920s, young women had a chance to change society--by misbehaving. Gather a gang of girls. Explore. Battle petty townsfolk with quick, naughty games: Fib, Flirt, Taunt... Win boyfriends and other useful prizes. Expose the town's depraved secret before it entraps your girls. Explore four beautiful game boards, dozens of character cards, and thousands of dialog cards (worn and aged from decades of neglect) which comprise the zany world of an American small town in the 1920s. Encounter nearly a hundred individual personalities. These denizens form the core culture of intolerance and repression your girls can overcome with wit, charm, and brazenness. Conflict using a variety of naughty mini-games: Taunt, Flirt, Fib and others to stand up against bullies, cozy up to boyfriends, and evade oppressive expectations. Conquer increasingly more powerful faculty and townsfolk as the story develops from the curious, to the weird, to the absurd, finally to collapse down a frozen crevasse of all too real inhumanity. Only the victorious will emerge, smirks on their faces, heels on the throats of the wicked, and their futures assured of freedom. Acquire dozens of prizes to swing games in your favor and help others along your journey. Gain experience and level up the talents of your gang members. Win boyfriends willing to sacrifice themselves for affection. Wind your way through an epic of literary satire in an fantastical world where nothing is real but all is true, during a mythic time of social upheaval. Help the young women trapped in this world transform it for the betterment of all -- by misbehaving. The approachability and accessibility of a board game. The humor of social satire at a zany point in history. The challenge of verbal battles woven intricately with the story. The epic sweep of an RPG unlike any game previous. 20 hours of leisurely entertainment that can be enjoyed a little bit at a time.",197,3938.03,45,5424,0,True,2009
Paws and Claws: Pampered Pets,2009-07-17,6.99,0,dtp – young entertainment Gmbh & Co. KG,Cosmi Valusoft,"Casual,Simulation","Only the best for your pets! Luxury and extravagance are the way of life at the Pampered Pets Spa. Let the pampering begin! Features Time for TLC! Welcome your clients to your Pampered Pets Spa to style and spoil your pets. Bling! Create custom diamond collars, sequined bags and more in your very own Pet Shop. Posh pad! Welcome your VIPets to their very own luxurious themed room including the Pretty in Purple and You’re a Movie Star rooms. Secret to Success! Grow your Pet Spa business as you receive gold star recommendations from your satisfied customers. Spare No Expense! Expand your custom treatments such as water aerobics and acupuncture in the Wellness Center. Pamper your VIPets with nothing but the best treatments including massage therapy and oxygen tents. Become the star of the business welcoming your guests with a limo ride from the airport. Offer your Pet Spa customers posh accessories and lavish personal pet rooms.",5,34.95,0,5280,0,True,2009
Metal Drift,2009-10-22,9.99,423,Black Jacket Studios,Black Jacket Studios,"Action,Indie,Racing,Sports","Metal Drift is a vehicular sport combat game set in a distant future. As the player, you command an agile, high powered hover tank in a futuristic sports arena. Core game play centers on intense tank-on-tank multiplayer team combat seen through an immersive, first person cockpit. Layered on this is a goal-oriented game type that allows for high level strategy and team dynamics. Players can level up to unlock new ranks, weapons, and upgrades. Each weapon and upgrade is specifically designed and balanced to allow different styles of play. Pair up the Stealth upgrade and the Shock Cannon to uncloak behind an enemy player and unload a devastating blow before disappearing again. Or choose the Sensor upgrade to see where all the nearby players are, and the Temporal Cannon to shoot them through walls! There are 56 possible combinations – choose whichever suits your strategy. Multiplayer team-based vehicular combat 5 Different arenas featuring multiple levels and boost tunnels Persistent leveling system – level-up to unlock new weapons and upgrades Stats and Leaderboards 56 Different tank configurations 18 Steam Achievements, with more coming soon! Unique energy management system – accumulate energy and then distribute it to weapons or use it to gain a speed boost!",130,1298.7,36,5183,28,True,2009
